hts10,from_quantity_description,to_quantity_description,switch_date,obs_total,pre12m_median_first_unit_qty,post12m_median_first_unit_qty,post_pre_qty_ratio,pre12m_median_customs_value,post12m_median_customs_value,post_pre_customs_value_ratio,pre12m_median_unit_value,post12m_median_unit_value,post_pre_unit_value_ratio,nearest_pre_pos_date,nearest_pre_pos_qty,nearest_post_pos_date,nearest_post_pos_qty,nearest_post_pre_qty_ratio
2607000020,kilograms,component kilograms,2002-01-01,24,,2999.0,,,3795.0,,,1.2654218072690897,,1996-01-01,122400.0,2002-10-01,2999.0,0.024501633986928104
2711290060,no units collected,barrels,2002-01-01,120,,21528.0,,964288.0,561990.0,0.5828030629853321,,24.92330015459304,,,,2002-08-01,36871.0,
6111206050,dozens,dozen pairs,2005-01-01,24,113214.0,164065.0,1.4491582313141484,847399.5,742747.0,0.8765015792433203,6.332403145491027,4.688128589214794,0.7403395648542948,2004-12-01,113736.0,2005-01-01,135505.0,1.1913993810227193
6111305050,dozens,dozen pairs,2005-01-01,24,51659.0,118864.5,2.3009446563038387,210601.0,426032.0,2.022934364034359,3.303724794334453,3.332335532753743,1.00866014580523,2004-12-01,25500.0,2005-01-01,117348.0,4.6018823529411765
6111905050,dozens,dozen pairs,2005-01-01,24,288.0,62.0,0.2152777777777778,21279.0,1260.0,0.05921330889609474,52.98,14.721311475409836,0.2778654487619826,2004-11-01,550.0,2005-01-01,33.0,0.06
7115900530,no units collected,grams,2003-01-01,60,,196.0,,,2945.0,,,15.025510204081632,,,,2003-02-01,196.0,
7115900590,no units collected,grams,2004-01-01,36,,2185.0,,,35650.0,,,16.31578947368421,,,,2004-04-01,2185.0,
7115903000,no units collected,grams,2002-01-01,108,,,,3421.5,6781.5,1.9820254274441034,,,,,,2004-05-01,164.0,
7115904000,no units collected,grams,2002-01-01,120,,14323.5,,3524.0,11578.5,3.28561293984109,,6.833684950773558,,,,2002-08-01,711.0,
7115906000,no units collected,grams,2002-01-01,108,,388.0,,5330.0,5820.0,1.0919324577861163,,15.005897219882055,,,,2002-08-01,1187.0,
9001300000,pairs,number,2005-01-01,72,5225.0,8052.0,1.5410526315789475,3300.0,5328.0,1.6145454545454545,3.195,0.6616989567809239,0.20710452481406072,2004-11-01,450.0,2005-08-01,8052.0,17.893333333333334
